540	1	317.0	259.5
540	2	248.5	459.5
540	5	122.0	226.5
540	82	171.0	57.5
550	1	317.5	259.0
550	2	248.5	459.5
550	5	121.5	226.5
550	82	166.5	50.5
560	1	319.5	259.0
560	2	248.0	460.0
560	5	122.0	226.0
560	82	165.5	48.5
570	1	321.0	258.5
570	2	248.0	460.0
570	5	121.5	226.0
580	1	322.5	256.5
580	2	248.0	460.0
580	5	122.0	225.5
590	1	323.5	256.0
590	2	248.0	460.0
590	5	121.5	225.5
600	1	325.5	253.5
600	2	248.5	460.0
610	1	326.5	252.0
610	2	249.5	460.0
620	1	328.0	250.0
620	2	251.5	460.0
630	1	329.5	248.5
630	2	253.5	460.0
630	99	396.5	178.0
640	1	331.0	247.0
640	2	252.0	460.0
640	99	394.5	181.0
650	1	333.5	245.5
650	2	252.5	460.0
650	99	392.5	182.5
660	1	335.5	243.0
660	2	247.5	459.5
660	99	390.0	184.0
660	101	589.0	310.0
660	102	623.5	309.0
670	1	337.5	242.5
670	2	245.0	459.5
670	101	585.5	310.0
670	102	623.0	309.0
680	1	339.5	243.0
680	2	244.0	459.5
680	101	583.0	309.0
680	102	622.5	309.5
680	104	122.5	226.0
690	1	340.5	243.5
690	2	243.5	459.5
690	101	581.0	309.0
690	102	622.5	309.5
690	104	122.0	226.5
690	105	201.0	463.5
700	1	342.0	243.5
700	2	243.5	459.5
700	101	578.0	309.5
700	102	622.5	309.5
700	104	122.5	226.0
700	105	200.0	464.0
710	1	344.0	243.0
710	2	243.0	459.5
710	101	576.0	310.0
710	102	622.5	309.5
710	104	122.5	226.0
710	105	200.0	464.0
720	1	345.0	243.5
720	2	243.0	459.5
720	101	574.5	310.5
720	102	621.5	311.5
720	104	122.0	224.5
720	105	200.5	464.5
720	110	375.0	171.0
730	1	346.5	243.0
730	2	245.5	459.5
730	101	573.5	311.0
730	102	621.0	311.5
730	105	201.0	464.5
730	110	371.5	169.0
740	1	347.5	242.5
740	2	248.0	459.5
740	101	572.5	311.5
740	105	201.0	464.5
740	110	368.5	169.0
750	1	349.0	242.5
750	2	249.0	459.5
750	101	572.5	312.0
750	105	200.5	464.5
750	110	366.0	168.5
750	114	99.0	286.0
760	1	351.5	239.0
760	2	250.0	459.5
760	101	571.0	312.5
760	105	200.5	464.5
760	110	363.0	168.0
760	114	99.0	286.0
770	1	354.0	234.5
770	2	250.0	460.0
770	101	571.0	313.0
770	105	200.5	464.5
770	110	363.0	168.0
770	114	99.0	286.0
770	116	572.0	36.0
780	1	355.0	235.0
780	2	251.0	459.5
780	105	200.5	464.5
780	110	363.0	168.0
780	114	99.0	286.0
780	116	572.0	35.5
780	117	346.0	321.0
790	1	356.5	234.0
790	2	250.5	459.5
790	105	200.5	464.5
790	110	363.0	168.0
790	114	101.0	286.5
790	116	571.0	35.5
790	117	346.0	321.0
790	118	125.0	224.0
800	1	359.5	233.0
800	2	250.0	460.5
800	105	200.5	464.0
800	110	350.5	167.5
800	114	102.0	286.5
800	116	571.0	35.5
800	117	346.0	321.0
810	2	251.0	460.5
810	105	200.5	464.0
810	110	348.0	167.5
810	116	571.5	35.0
820	2	251.5	460.5
820	105	200.5	464.0
820	116	571.5	35.0
830	2	252.0	460.5
830	105	200.5	464.5
830	116	571.5	35.0
840	2	247.0	460.5
840	105	201.5	464.5
840	116	571.5	35.0
840	121	618.0	205.5
850	2	244.5	460.5
850	105	201.5	464.5
850	116	571.5	35.0
850	121	618.5	204.5
860	2	242.5	460.0
860	105	201.5	465.0
860	116	571.0	34.0
870	2	242.5	460.0
870	105	201.5	465.0
870	116	571.5	34.5
880	2	244.0	460.0
880	105	201.5	465.0
880	116	571.5	34.5
880	125	374.5	231.0
890	2	242.5	460.0
890	105	201.5	465.0
890	125	377.5	231.0
890	129	614.5	313.5
900	2	243.0	460.0
900	105	201.5	465.0
900	125	377.5	230.5
900	129	613.0	313.0
910	2	244.5	460.0
910	105	201.5	465.0
910	125	378.0	229.5
920	2	246.0	460.0
920	105	201.5	464.5
920	125	378.5	228.5
930	2	247.0	460.0
930	105	201.5	464.5
930	125	380.5	228.0
940	2	247.0	460.0
940	105	201.5	465.0
940	125	385.0	226.5
950	2	248.0	460.0
950	105	201.5	465.0
